   base_score  dyn_score  base_ppl   dyn_ppl
0           1          1  5.616038  7.204438
1           1          1  6.132094  6.693025
2           1          1  3.803050  4.801442
3           1          1  7.638792  7.440956
4           1          2  4.982874  5.647861
5           0          1  8.704205  7.474169
6           1          1  7.501424  7.888879
7           0          0  5.451054  6.372026
8           1          1  7.023570  8.541352
9           1          1  3.766772  4.244870
