Method,Global Mean,Avg Std Dev (Within-Trait),Avg Unique Layers (Per Trait),Global Unique Layers,Global Min,Global Max
Proj Rank-Only,10.86,5.7506547138941375,4.4,17,4,29
PDF Proj Rank,13.72,4.8334908527572615,4.4,19,4,29
Proj Cos-Only,11.64,4.0748722904988135,3.8,13,4,28
PDF Proj Cos,13.08,3.9237657276831692,4.0,13,4,29
PDF Rank-Only,12.32,3.573380960004897,3.4,12,4,29
Rank-Only,25.48,3.555700361656889,4.2,6,14,29
Logit Diff,22.02,2.99853094236147,3.2,8,14,28
Cos-Only,21.96,2.109909083394701,2.0,2,21,27
PDF Cos-Only,21.28,1.4700111642509461,3.2,9,17,29
