prompt_idx,layer,logit_diff,cos,proj_cos,mask_cos,mask_proj_cos,rank,proj_rank
0,0,24.730972290039062,-0.013214651495218277,0.009999647736549377,0.0035221893340349197,0.023876626044511795,0.6455,0.6094999999999999
0,1,32.21976852416992,-0.020155169069767,0.004940214101225138,-0.01997249387204647,0.02148289978504181,0.899,0.8029999999999999
0,2,36.841697692871094,-0.022561561316251755,0.044721946120262146,-0.013585617765784264,0.06789404153823853,0.9895,0.40549999999999997
0,3,53.2467155456543,-0.00882894080132246,0.05018684267997742,-0.011691114865243435,0.0436859205365181,0.948,0.361
0,4,90.11643981933594,-0.029646161943674088,0.012881707400083542,-0.02542920410633087,0.017659097909927368,0.9885,0.759
0,5,93.72805786132812,-0.009960468858480453,0.0405779592692852,-0.005448823794722557,0.03485778346657753,0.9805,0.5549999999999999
0,6,109.75494384765625,0.0019274675287306309,0.026751022785902023,0.0003183395601809025,0.026129014790058136,0.992,0.6585
0,7,127.15447235107422,0.008469413965940475,0.032116424292325974,-0.008169326931238174,0.02457534894347191,0.9905,0.6355
0,8,151.25067138671875,0.007362418808043003,0.05236613750457764,0.019997671246528625,0.06266678869724274,0.9705,0.5275000000000001
0,9,190.83230590820312,0.007874133065342903,0.03525937348604202,0.010354695841670036,0.052597228437662125,0.9815,0.656
0,10,223.5421142578125,-0.006216882728040218,0.022383825853466988,0.0027207331731915474,0.03612429276108742,0.989,0.7484999999999999
0,11,215.99000549316406,-0.0045324768871068954,0.02152397483587265,0.0337815061211586,0.06207071989774704,0.987,0.743
0,12,215.5691375732422,-0.011148878373205662,0.009291780181229115,0.0021883873268961906,0.030164461582899094,0.9955,0.8065
0,13,232.67684936523438,0.02157004363834858,0.0403057225048542,0.05619028955698013,0.07383329421281815,0.985,0.5900000000000001
0,14,244.70938110351562,-0.004875038750469685,0.0015266481786966324,0.01541878841817379,0.022390376776456833,0.994,0.835
0,15,235.66050720214844,0.0037892889231443405,-0.005552870221436024,0.0104634715244174,0.0015833722427487373,0.9925,0.8605
0,16,225.57870483398438,-0.02664920501410961,-0.025859856978058815,-0.026707937940955162,-0.02340710163116455,0.9875,0.943
0,17,249.2860870361328,-0.022112596780061722,-0.02775815688073635,-0.02436325140297413,-0.013690261170268059,0.9855,0.9359999999999999
0,18,209.14019775390625,-0.014516240917146206,-0.02089800499379635,-0.024578221142292023,-0.026018431410193443,0.9785,0.926
0,19,224.29718017578125,-0.0167371965944767,-0.009031509980559349,-0.02113189734518528,-0.00708245113492012,0.987,0.887
0,20,217.38975524902344,-0.0490369014441967,-0.03697322681546211,-0.06478068977594376,-0.04082610458135605,0.9895,0.943
0,21,237.28530883789062,-0.06605716794729233,-0.04423578083515167,-0.07477597892284393,-0.04996282607316971,0.9875,0.9435
