Method,Avg Std Dev (Within-Trait),Avg Unique Layers (Per Trait),Global Unique Layers,Global Min,Global Max
Logit Diff,3.2701778195227034,3.4,8,14,28
PDF Rank-Only,2.5634168856146617,4.6,19,4,28
PDF Cos-Only,2.136981497127549,2.6,10,17,29
Cos-Only,2.109909083394701,2.0,2,21,27
Rank-Only,1.4153032277715711,2.8,7,5,15
